,0,1,2,0,1,2,3,4,5,6,0,0,1,2
0,outcome,B,S,c,v,r,w,p,x,L,surplus,social best,optimum surplus,efficiency
1,Both perform,3,-53,157,154,47,23.5,104,23.92,52,-50,Buyer's breach - deposit remedy,-23.5,0
2,Both perform,76,-61,117,162,30,10.0,56,6.72,2,15,Both perform,15,1
3,Both perform,-24,-21,170,149,24,8.0,149,28.31,50,-45,Seller's breach - deposit remedy,-16.0,0
4,Both perform,93,-75,159,214,37,9.25,84,72.24,20,18,Both perform,18,1
5,Both perform,70,-45,110,164,29,7.25,65,35.1,55,25,Both perform,25,1
6,Both perform,34,-120,176,134,44,22.0,56,16.24,90,-86,Buyer's breach - deposit remedy,-21.999999999999996,0
7,Both perform,16,39,105,178,18,4.5,144,86.4,79,55,Both perform,55,1
8,Both perform,-35,67,127,175,16,4.0,194,129.98,16,32,Both perform,32,1
9,Both perform,-76,33,98,104,49,49.0,131,26.2,35,-43,Buyer's breach - deposit remedy,0.0,0
10,Both perform,31,67,90,219,31,31.0,157,45.53,30,98,Both perform,98,1
11,Both perform,65,9,112,235,49,24.5,121,43.56,42,74,Both perform,74,1
12,Both perform,22,-69,183,174,38,12.666666666666666,114,13.68,38,-47,Buyer's breach - deposit remedy,-25.333333333333336,0
13,Both perform,7,32,140,213,34,11.333333333333334,172,161.68,82,39,Both perform,39,1
14,Both perform,-96,99,90,118,25,6.25,189,126.63,1,3,Both perform,3,1
15,Both perform,21,67,91,216,37,9.25,158,33.18,36,88,Both perform,88,1
16,Both perform,-38,18,176,175,19,9.5,194,29.1,25,-20,Buyer's breach - deposit remedy,-9.5,0
17,Both perform,-34,18,118,135,33,11.0,136,13.6,59,-16,Both perform,-16,1
18,Both perform,63,-6,137,205,11,5.5,131,72.05,39,57,Both perform,57,1
19,Both perform,-20,10,152,166,24,8.0,162,77.76,70,-10,Both perform,-10,1
20,Seller's breach - deposit remedy,21.85333333333333,-54.52,179,131,49,16.333333333333332,116,54.52,14,-32.66666666666667,Buyer's breach - judicial remedy,-14,0
21,Both perform,78,-18,111,208,37,12.333333333333334,93,52.08,86,60,Both perform,60,1
22,Both perform,-9,76,112,194,15,7.5,188,184.24,14,67,Both perform,67,1
23,Both perform,32,37,113,197,15,3.75,150,115.5,63,69,Both perform,69,1
24,Both perform,-32,12,163,159,16,16.0,175,87.5,49,-20,Buyer's breach - deposit remedy,0.0,0
25,Both perform,56,47,97,210,10,5.0,144,69.12,71,103,Both perform,103,1
26,Seller's breach - deposit remedy,49.7,-49.7,130,139,25,25.0,71,49.7,95,0.0,Buyer's breach - deposit remedy,0.0,0
27,Both perform,-72,43,119,118,28,14.0,162,61.56,98,-29,Buyer's breach - deposit remedy,-14.0,0
28,Both perform,35,77,102,248,34,8.5,179,139.62,83,112,Both perform,112,1
29,Both perform,31,-13,158,214,38,38.0,145,120.35,33,18,Both perform,18,1
30,Both perform,64,-133,200,159,28,28.0,67,62.31,87,-69,Buyer's breach - deposit remedy,0.0,0
31,Both perform,154,-85,167,247,11,5.5,82,37.72,18,69,Both perform,69,1
32,Both perform,126,-46,132,223,11,3.6666666666666665,86,28.38,81,80,Both perform,80,1
33,Both perform,24,-32,195,226,39,19.5,163,158.11,100,-8,Both perform,-8,1
34,Both perform,-102,85,96,105,26,6.5,181,14.48,43,-17,Both perform,-17,1
35,Both perform,-14,-20,162,157,29,9.666666666666666,142,116.44,87,-34,Buyer's breach - deposit remedy,-19.333333333333343,0
36,Both perform,-96,85,90,107,28,14.0,175,71.75,79,-11,Both perform,-11,1
37,Both perform,123,-107,178,227,33,16.5,71,4.97,98,16,Both perform,16,1
38,Both perform,77,-11,153,229,10,2.5,142,107.92,75,66,Both perform,66,1
39,Both perform,-18,-1,150,157,26,13.0,149,125.16,98,-19,Buyer's breach - deposit remedy,-13.0,0
40,Both perform,142,-98,157,240,39,13.0,59,42.48,3,44,Both perform,44,1
41,Both perform,77,-61,151,214,47,23.5,90,18.0,14,16,Both perform,16,1
42,Both perform,-25,61,138,208,34,34.0,199,151.24,42,36,Both perform,36,1
43,Both perform,72,-100,196,217,49,49.0,96,17.28,93,-28,Buyer's breach - deposit remedy,0.0,0
44,Both perform,-42,-48,188,138,40,20.0,140,114.8,9,-90,Buyer's breach - judicial remedy,-9,0
45,Both perform,-23,43,129,183,34,11.333333333333334,172,25.8,18,20,Both perform,20,1
46,Buyer's breach - enforced performance,-129,-2,149,150,49,49.0,147,45.57,83,-131,Buyer's breach - deposit remedy,0.0,0
47,Both perform,95,8,111,249,35,17.5,119,34.51,42,103,Both perform,103,1
48,Both perform,16,-3,158,216,45,45.0,155,130.2,15,13,Both perform,13,1
49,Both perform,-19,-3,108,128,42,14.0,105,50.4,40,-22,Both perform,-22,1
50,Both perform,-66,40,131,128,23,7.666666666666667,171,66.69,91,-26,Buyer's breach - deposit remedy,-15.333333333333329,0
51,Both perform,-6,-4,130,134,14,3.5,126,110.88,95,-10,Both perform,-10,1
52,Both perform,78,30,117,239,14,14.0,147,86.73,57,108,Both perform,108,1
53,Both perform,125,-102,199,239,17,17.0,97,24.25,51,23,Both perform,23,1
54,Both perform,6,-52,164,145,27,6.75,112,57.12,81,-46,Seller's breach - deposit remedy,-20.25,0
55,Both perform,110,-26,117,248,47,11.75,91,21.84,85,84,Both perform,84,1
56,Both perform,-51,-1,194,169,27,9.0,193,67.55,27,-52,Buyer's breach - deposit remedy,-18.0,0
57,Both perform,-38,13,151,164,38,12.666666666666666,164,8.2,36,-25,Both perform,-25,1
58,Both perform,-32,-47,141,110,48,12.0,94,81.78,68,-79,Buyer's breach - deposit remedy,-36.0,0
59,Both perform,39,-11,138,190,24,6.0,127,110.49,90,28,Both perform,28,1
60,Both perform,-30,13,185,193,25,8.333333333333334,198,55.44,64,-17,Buyer's breach - deposit remedy,-16.666666666666657,0
61,Both perform,-19,66,99,169,23,5.75,165,85.8,85,47,Both perform,47,1
62,Both perform,36,-56,123,135,32,8.0,67,41.54,11,-20,Buyer's breach - judicial remedy,-11,0
63,Both perform,88,-49,131,182,12,6.0,82,26.24,39,39,Both perform,39,1
64,Both perform,73,-12,131,209,17,5.666666666666667,119,42.84,34,61,Both perform,61,1
65,Both perform,35,18,143,245,49,24.5,161,41.86,15,53,Both perform,53,1
66,Both perform,131,-144,194,228,47,15.666666666666666,50,21.5,35,-13,Both perform,-13,1
67,Both perform,58,59,108,238,13,3.25,167,55.11,29,117,Both perform,117,1
68,Both perform,-44,17,151,166,42,14.0,168,104.16,26,-27,Buyer's breach - judicial remedy,-26,0
69,Both perform,58,-39,98,161,44,22.0,59,34.22,17,19,Both perform,19,1
70,Both perform,-13,15,136,150,12,12.0,151,39.26,7,2,Both perform,2,1
71,Both perform,23,-2,165,197,11,2.75,163,128.77,64,21,Both perform,21,1
72,Both perform,-15,57,114,198,42,21.0,171,143.64,40,42,Both perform,42,1
73,Both perform,-85,51,136,133,31,15.5,187,44.88,69,-34,Buyer's breach - deposit remedy,-15.5,0
74,Both perform,-73,31,163,144,23,7.666666666666667,194,75.66,65,-42,Buyer's breach - deposit remedy,-15.333333333333329,0
75,Both perform,-3,-18,191,192,22,5.5,173,29.41,76,-21,Buyer's breach - deposit remedy,-16.499999999999996,0
76,Both perform,-118,2,178,109,47,15.666666666666666,180,97.2,48,-116,Buyer's breach - deposit remedy,-31.33333333333333,0
77,Both perform,64,6,103,189,16,5.333333333333333,109,14.17,38,70,Both perform,70,1
78,Both perform,-38,43,140,160,15,15.0,183,98.82,1,5,Both perform,5,1
79,Both perform,58,6,150,232,18,4.5,156,110.76,95,64,Both perform,64,1
80,Both perform,89,-82,145,173,21,21.0,63,40.95,79,7,Both perform,7,1
81,Both perform,67,-21,184,249,19,9.5,163,9.78,45,46,Both perform,46,1
82,Both perform,38,52,112,214,12,4.0,164,68.88,80,90,Both perform,90,1
83,Both perform,6,15,154,189,14,3.5,169,79.43,69,21,Both perform,21,1
